PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,TEAM,SEASON,TEAM_ID
Nia Coffey,13,20.6,5.2,1.9,4.7,41.0,1.0,2.3,43.3,0.4,0.5,71.4,0.2,3.3,3.5,1.8,0.8,0.5,1.4,2.1,-2.2,Atlanta Dream,1997,1611661330
Rhyne Howard,13,31.7,16.6,5.3,13.8,38.3,2.3,6.3,36.6,3.7,4.8,76.2,1.1,3.7,4.8,2.9,1.8,0.8,0.4,2.8,-4.2,Atlanta Dream,1997,1611661330
Taylor Mikesell,5,5.4,3.4,1.0,2.0,50.0,0.6,1.4,42.9,0.8,0.8,100.0,0.0,0.4,0.4,0.4,0.2,0.0,0.0,0.0,-1.2,Atlanta Dream,1997,1611661330
Aari McDonald,5,28.7,6.0,2.0,7.6,26.3,1.2,4.0,30.0,0.8,1.6,50.0,0.0,2.4,2.4,3.8,2.0,0.2,0.0,2.2,0.8,Atlanta Dream,1998,1611661330
Allisha Gray,13,32.4,17.7,5.9,12.5,47.2,0.9,2.7,34.3,4.9,5.8,84.2,1.3,4.0,5.3,2.8,2.2,0.9,0.2,2.5,-5.7,Atlanta Dream,1998,1611661330
Asia (AD) Durr,13,14.8,6.9,2.5,7.2,35.5,0.7,2.6,26.5,1.2,1.5,78.9,0.2,1.1,1.3,1.2,0.8,0.3,0.2,1.1,-1.0,Atlanta Dream,1998,1611661330
Cheyenne Parker,13,27.2,16.1,6.2,12.5,50.0,0.5,1.5,30.0,3.2,3.5,89.1,2.9,4.4,7.3,1.5,3.0,1.6,1.3,2.5,-2.2,Atlanta Dream,1998,1611661330
Danielle Robinson,5,14.4,5.4,2.2,4.6,47.8,0.6,1.0,60.0,0.4,0.8,50.0,0.2,1.2,1.4,2.6,1.6,0.4,0.0,3.0,-7.2,Atlanta Dream,1998,1611661330
Haley Jones,13,21.9,5.0,1.9,5.7,33.8,0.3,1.0,30.8,0.8,1.2,73.3,0.2,3.1,3.3,3.5,2.5,0.7,0.5,2.5,-1.0,Atlanta Dream,1998,1611661330
Laeticia Amihere,7,7.8,3.7,1.0,2.1,46.7,0.0,0.1,0.0,1.7,3.1,54.5,0.3,1.0,1.3,0.4,0.9,0.3,1.0,0.9,-0.7,Atlanta Dream,1998,1611661330
Lorela Cubaj,3,6.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,0.0,0.3,0.0,0.3,1.3,4.0,Atlanta Dream,1998,1611661330
Monique Billings,12,14.7,4.4,1.4,3.6,39.5,0.0,0.1,0.0,1.6,1.8,90.5,1.4,3.0,4.4,0.6,1.0,0.3,0.4,2.0,-4.2,Atlanta Dream,1998,1611661330
Naz Hillmon,13,15.5,4.9,1.8,3.2,54.8,0.0,0.1,0.0,1.4,1.5,90.0,1.2,2.3,3.5,1.0,1.6,0.3,0.2,1.8,-6.0,Atlanta Dream,1998,1611661330
Nia Coffey,13,20.6,5.2,1.9,4.7,41.0,1.0,2.3,43.3,0.4,0.5,71.4,0.2,3.3,3.5,1.8,0.8,0.5,1.4,2.1,-2.2,Atlanta Dream,1998,1611661330
Rhyne Howard,13,31.7,16.6,5.3,13.8,38.3,2.3,6.3,36.6,3.7,4.8,76.2,1.1,3.7,4.8,2.9,1.8,0.8,0.4,2.8,-4.2,Atlanta Dream,1998,1611661330
Taylor Mikesell,5,5.4,3.4,1.0,2.0,50.0,0.6,1.4,42.9,0.8,0.8,100.0,0.0,0.4,0.4,0.4,0.2,0.0,0.0,0.0,-1.2,Atlanta Dream,1998,1611661330
Aari McDonald,5,28.7,6.0,2.0,7.6,26.3,1.2,4.0,30.0,0.8,1.6,50.0,0.0,2.4,2.4,3.8,2.0,0.2,0.0,2.2,0.8,Atlanta Dream,1999,1611661330
Allisha Gray,13,32.4,17.7,5.9,12.5,47.2,0.9,2.7,34.3,4.9,5.8,84.2,1.3,4.0,5.3,2.8,2.2,0.9,0.2,2.5,-5.7,Atlanta Dream,1999,1611661330
Asia (AD) Durr,13,14.8,6.9,2.5,7.2,35.5,0.7,2.6,26.5,1.2,1.5,78.9,0.2,1.1,1.3,1.2,0.8,0.3,0.2,1.1,-1.0,Atlanta Dream,1999,1611661330
Cheyenne Parker,13,27.2,16.1,6.2,12.5,50.0,0.5,1.5,30.0,3.2,3.5,89.1,2.9,4.4,7.3,1.5,3.0,1.6,1.3,2.5,-2.2,Atlanta Dream,1999,1611661330
Danielle Robinson,5,14.4,5.4,2.2,4.6,47.8,0.6,1.0,60.0,0.4,0.8,50.0,0.2,1.2,1.4,2.6,1.6,0.4,0.0,3.0,-7.2,Atlanta Dream,1999,1611661330
Haley Jones,13,21.9,5.0,1.9,5.7,33.8,0.3,1.0,30.8,0.8,1.2,73.3,0.2,3.1,3.3,3.5,2.5,0.7,0.5,2.5,-1.0,Atlanta Dream,1999,1611661330
Laeticia Amihere,7,7.8,3.7,1.0,2.1,46.7,0.0,0.1,0.0,1.7,3.1,54.5,0.3,1.0,1.3,0.4,0.9,0.3,1.0,0.9,-0.7,Atlanta Dream,1999,1611661330
Lorela Cubaj,3,6.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,0.0,0.3,0.0,0.3,1.3,4.0,Atlanta Dream,1999,1611661330
Monique Billings,12,14.7,4.4,1.4,3.6,39.5,0.0,0.1,0.0,1.6,1.8,90.5,1.4,3.0,4.4,0.6,1.0,0.3,0.4,2.0,-4.2,Atlanta Dream,1999,1611661330
Naz Hillmon,13,15.5,4.9,1.8,3.2,54.8,0.0,0.1,0.0,1.4,1.5,90.0,1.2,2.3,3.5,1.0,1.6,0.3,0.2,1.8,-6.0,Atlanta Dream,1999,1611661330
Nia Coffey,13,20.6,5.2,1.9,4.7,41.0,1.0,2.3,43.3,0.4,0.5,71.4,0.2,3.3,3.5,1.8,0.8,0.5,1.4,2.1,-2.2,Atlanta Dream,1999,1611661330
Rhyne Howard,13,31.7,16.6,5.3,13.8,38.3,2.3,6.3,36.6,3.7,4.8,76.2,1.1,3.7,4.8,2.9,1.8,0.8,0.4,2.8,-4.2,Atlanta Dream,1999,1611661330
Taylor Mikesell,5,5.4,3.4,1.0,2.0,50.0,0.6,1.4,42.9,0.8,0.8,100.0,0.0,0.4,0.4,0.4,0.2,0.0,0.0,0.0,-1.2,Atlanta Dream,1999,1611661330
Aari McDonald,5,28.7,6.0,2.0,7.6,26.3,1.2,4.0,30.0,0.8,1.6,50.0,0.0,2.4,2.4,3.8,2.0,0.2,0.0,2.2,0.8,Atlanta Dream,2000,1611661330
Allisha Gray,13,32.4,17.7,5.9,12.5,47.2,0.9,2.7,34.3,4.9,5.8,84.2,1.3,4.0,5.3,2.8,2.2,0.9,0.2,2.5,-5.7,Atlanta Dream,2000,1611661330
Asia (AD) Durr,13,14.8,6.9,2.5,7.2,35.5,0.7,2.6,26.5,1.2,1.5,78.9,0.2,1.1,1.3,1.2,0.8,0.3,0.2,1.1,-1.0,Atlanta Dream,2000,1611661330
Cheyenne Parker,13,27.2,16.1,6.2,12.5,50.0,0.5,1.5,30.0,3.2,3.5,89.1,2.9,4.4,7.3,1.5,3.0,1.6,1.3,2.5,-2.2,Atlanta Dream,2000,1611661330
Danielle Robinson,5,14.4,5.4,2.2,4.6,47.8,0.6,1.0,60.0,0.4,0.8,50.0,0.2,1.2,1.4,2.6,1.6,0.4,0.0,3.0,-7.2,Atlanta Dream,2000,1611661330
Haley Jones,13,21.9,5.0,1.9,5.7,33.8,0.3,1.0,30.8,0.8,1.2,73.3,0.2,3.1,3.3,3.5,2.5,0.7,0.5,2.5,-1.0,Atlanta Dream,2000,1611661330
Laeticia Amihere,7,7.8,3.7,1.0,2.1,46.7,0.0,0.1,0.0,1.7,3.1,54.5,0.3,1.0,1.3,0.4,0.9,0.3,1.0,0.9,-0.7,Atlanta Dream,2000,1611661330
Lorela Cubaj,3,6.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,0.0,0.3,0.0,0.3,1.3,4.0,Atlanta Dream,2000,1611661330
Monique Billings,12,14.7,4.4,1.4,3.6,39.5,0.0,0.1,0.0,1.6,1.8,90.5,1.4,3.0,4.4,0.6,1.0,0.3,0.4,2.0,-4.2,Atlanta Dream,2000,1611661330
Naz Hillmon,13,15.5,4.9,1.8,3.2,54.8,0.0,0.1,0.0,1.4,1.5,90.0,1.2,2.3,3.5,1.0,1.6,0.3,0.2,1.8,-6.0,Atlanta Dream,2000,1611661330
Nia Coffey,13,20.6,5.2,1.9,4.7,41.0,1.0,2.3,43.3,0.4,0.5,71.4,0.2,3.3,3.5,1.8,0.8,0.5,1.4,2.1,-2.2,Atlanta Dream,2000,1611661330
Rhyne Howard,13,31.7,16.6,5.3,13.8,38.3,2.3,6.3,36.6,3.7,4.8,76.2,1.1,3.7,4.8,2.9,1.8,0.8,0.4,2.8,-4.2,Atlanta Dream,2000,1611661330
Taylor Mikesell,5,5.4,3.4,1.0,2.0,50.0,0.6,1.4,42.9,0.8,0.8,100.0,0.0,0.4,0.4,0.4,0.2,0.0,0.0,0.0,-1.2,Atlanta Dream,2000,1611661330
Aari McDonald,5,28.7,6.0,2.0,7.6,26.3,1.2,4.0,30.0,0.8,1.6,50.0,0.0,2.4,2.4,3.8,2.0,0.2,0.0,2.2,0.8,Atlanta Dream,2001,1611661330
Allisha Gray,13,32.4,17.7,5.9,12.5,47.2,0.9,2.7,34.3,4.9,5.8,84.2,1.3,4.0,5.3,2.8,2.2,0.9,0.2,2.5,-5.7,Atlanta Dream,2001,1611661330
Asia (AD) Durr,13,14.8,6.9,2.5,7.2,35.5,0.7,2.6,26.5,1.2,1.5,78.9,0.2,1.1,1.3,1.2,0.8,0.3,0.2,1.1,-1.0,Atlanta Dream,2001,1611661330
Cheyenne Parker,13,27.2,16.1,6.2,12.5,50.0,0.5,1.5,30.0,3.2,3.5,89.1,2.9,4.4,7.3,1.5,3.0,1.6,1.3,2.5,-2.2,Atlanta Dream,2001,1611661330
Danielle Robinson,5,14.4,5.4,2.2,4.6,47.8,0.6,1.0,60.0,0.4,0.8,50.0,0.2,1.2,1.4,2.6,1.6,0.4,0.0,3.0,-7.2,Atlanta Dream,2001,1611661330
Haley Jones,13,21.9,5.0,1.9,5.7,33.8,0.3,1.0,30.8,0.8,1.2,73.3,0.2,3.1,3.3,3.5,2.5,0.7,0.5,2.5,-1.0,Atlanta Dream,2001,1611661330
Laeticia Amihere,7,7.8,3.7,1.0,2.1,46.7,0.0,0.1,0.0,1.7,3.1,54.5,0.3,1.0,1.3,0.4,0.9,0.3,1.0,0.9,-0.7,Atlanta Dream,2001,1611661330
Lorela Cubaj,3,6.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,0.0,0.3,0.0,0.3,1.3,4.0,Atlanta Dream,2001,1611661330
Monique Billings,12,14.7,4.4,1.4,3.6,39.5,0.0,0.1,0.0,1.6,1.8,90.5,1.4,3.0,4.4,0.6,1.0,0.3,0.4,2.0,-4.2,Atlanta Dream,2001,1611661330
Naz Hillmon,13,15.5,4.9,1.8,3.2,54.8,0.0,0.1,0.0,1.4,1.5,90.0,1.2,2.3,3.5,1.0,1.6,0.3,0.2,1.8,-6.0,Atlanta Dream,2001,1611661330
Nia Coffey,13,20.6,5.2,1.9,4.7,41.0,1.0,2.3,43.3,0.4,0.5,71.4,0.2,3.3,3.5,1.8,0.8,0.5,1.4,2.1,-2.2,Atlanta Dream,2001,1611661330
Rhyne Howard,13,31.7,16.6,5.3,13.8,38.3,2.3,6.3,36.6,3.7,4.8,76.2,1.1,3.7,4.8,2.9,1.8,0.8,0.4,2.8,-4.2,Atlanta Dream,2001,1611661330
Taylor Mikesell,5,5.4,3.4,1.0,2.0,50.0,0.6,1.4,42.9,0.8,0.8,100.0,0.0,0.4,0.4,0.4,0.2,0.0,0.0,0.0,-1.2,Atlanta Dream,2001,1611661330
Aari McDonald,5,28.7,6.0,2.0,7.6,26.3,1.2,4.0,30.0,0.8,1.6,50.0,0.0,2.4,2.4,3.8,2.0,0.2,0.0,2.2,0.8,Atlanta Dream,2002,1611661330
Allisha Gray,13,32.4,17.7,5.9,12.5,47.2,0.9,2.7,34.3,4.9,5.8,84.2,1.3,4.0,5.3,2.8,2.2,0.9,0.2,2.5,-5.7,Atlanta Dream,2002,1611661330
Asia (AD) Durr,13,14.8,6.9,2.5,7.2,35.5,0.7,2.6,26.5,1.2,1.5,78.9,0.2,1.1,1.3,1.2,0.8,0.3,0.2,1.1,-1.0,Atlanta Dream,2002,1611661330
Cheyenne Parker,13,27.2,16.1,6.2,12.5,50.0,0.5,1.5,30.0,3.2,3.5,89.1,2.9,4.4,7.3,1.5,3.0,1.6,1.3,2.5,-2.2,Atlanta Dream,2002,1611661330
Danielle Robinson,5,14.4,5.4,2.2,4.6,47.8,0.6,1.0,60.0,0.4,0.8,50.0,0.2,1.2,1.4,2.6,1.6,0.4,0.0,3.0,-7.2,Atlanta Dream,2002,1611661330
Haley Jones,13,21.9,5.0,1.9,5.7,33.8,0.3,1.0,30.8,0.8,1.2,73.3,0.2,3.1,3.3,3.5,2.5,0.7,0.5,2.5,-1.0,Atlanta Dream,2002,1611661330
Laeticia Amihere,7,7.8,3.7,1.0,2.1,46.7,0.0,0.1,0.0,1.7,3.1,54.5,0.3,1.0,1.3,0.4,0.9,0.3,1.0,0.9,-0.7,Atlanta Dream,2002,1611661330
Lorela Cubaj,3,6.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,0.0,0.3,0.0,0.3,1.3,4.0,Atlanta Dream,2002,1611661330
Monique Billings,12,14.7,4.4,1.4,3.6,39.5,0.0,0.1,0.0,1.6,1.8,90.5,1.4,3.0,4.4,0.6,1.0,0.3,0.4,2.0,-4.2,Atlanta Dream,2002,1611661330
Naz Hillmon,13,15.5,4.9,1.8,3.2,54.8,0.0,0.1,0.0,1.4,1.5,90.0,1.2,2.3,3.5,1.0,1.6,0.3,0.2,1.8,-6.0,Atlanta Dream,2002,1611661330
Nia Coffey,13,20.6,5.2,1.9,4.7,41.0,1.0,2.3,43.3,0.4,0.5,71.4,0.2,3.3,3.5,1.8,0.8,0.5,1.4,2.1,-2.2,Atlanta Dream,2002,1611661330
Rhyne Howard,13,31.7,16.6,5.3,13.8,38.3,2.3,6.3,36.6,3.7,4.8,76.2,1.1,3.7,4.8,2.9,1.8,0.8,0.4,2.8,-4.2,Atlanta Dream,2002,1611661330
Taylor Mikesell,5,5.4,3.4,1.0,2.0,50.0,0.6,1.4,42.9,0.8,0.8,100.0,0.0,0.4,0.4,0.4,0.2,0.0,0.0,0.0,-1.2,Atlanta Dream,2002,1611661330
Aari McDonald,5,28.7,6.0,2.0,7.6,26.3,1.2,4.0,30.0,0.8,1.6,50.0,0.0,2.4,2.4,3.8,2.0,0.2,0.0,2.2,0.8,Atlanta Dream,2003,1611661330
Allisha Gray,13,32.4,17.7,5.9,12.5,47.2,0.9,2.7,34.3,4.9,5.8,84.2,1.3,4.0,5.3,2.8,2.2,0.9,0.2,2.5,-5.7,Atlanta Dream,2003,1611661330
Asia (AD) Durr,13,14.8,6.9,2.5,7.2,35.5,0.7,2.6,26.5,1.2,1.5,78.9,0.2,1.1,1.3,1.2,0.8,0.3,0.2,1.1,-1.0,Atlanta Dream,2003,1611661330
Cheyenne Parker,13,27.2,16.1,6.2,12.5,50.0,0.5,1.5,30.0,3.2,3.5,89.1,2.9,4.4,7.3,1.5,3.0,1.6,1.3,2.5,-2.2,Atlanta Dream,2003,1611661330
Danielle Robinson,5,14.4,5.4,2.2,4.6,47.8,0.6,1.0,60.0,0.4,0.8,50.0,0.2,1.2,1.4,2.6,1.6,0.4,0.0,3.0,-7.2,Atlanta Dream,2003,1611661330
Haley Jones,13,21.9,5.0,1.9,5.7,33.8,0.3,1.0,30.8,0.8,1.2,73.3,0.2,3.1,3.3,3.5,2.5,0.7,0.5,2.5,-1.0,Atlanta Dream,2003,1611661330
Laeticia Amihere,7,7.8,3.7,1.0,2.1,46.7,0.0,0.1,0.0,1.7,3.1,54.5,0.3,1.0,1.3,0.4,0.9,0.3,1.0,0.9,-0.7,Atlanta Dream,2003,1611661330
Lorela Cubaj,3,6.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,0.0,0.3,0.0,0.3,1.3,4.0,Atlanta Dream,2003,1611661330
Monique Billings,12,14.7,4.4,1.4,3.6,39.5,0.0,0.1,0.0,1.6,1.8,90.5,1.4,3.0,4.4,0.6,1.0,0.3,0.4,2.0,-4.2,Atlanta Dream,2003,1611661330
Naz Hillmon,13,15.5,4.9,1.8,3.2,54.8,0.0,0.1,0.0,1.4,1.5,90.0,1.2,2.3,3.5,1.0,1.6,0.3,0.2,1.8,-6.0,Atlanta Dream,2003,1611661330
Nia Coffey,13,20.6,5.2,1.9,4.7,41.0,1.0,2.3,43.3,0.4,0.5,71.4,0.2,3.3,3.5,1.8,0.8,0.5,1.4,2.1,-2.2,Atlanta Dream,2003,1611661330
Rhyne Howard,13,31.7,16.6,5.3,13.8,38.3,2.3,6.3,36.6,3.7,4.8,76.2,1.1,3.7,4.8,2.9,1.8,0.8,0.4,2.8,-4.2,Atlanta Dream,2003,1611661330
Taylor Mikesell,5,5.4,3.4,1.0,2.0,50.0,0.6,1.4,42.9,0.8,0.8,100.0,0.0,0.4,0.4,0.4,0.2,0.0,0.0,0.0,-1.2,Atlanta Dream,2003,1611661330
Aari McDonald,5,28.7,6.0,2.0,7.6,26.3,1.2,4.0,30.0,0.8,1.6,50.0,0.0,2.4,2.4,3.8,2.0,0.2,0.0,2.2,0.8,Atlanta Dream,2004,1611661330
Allisha Gray,13,32.4,17.7,5.9,12.5,47.2,0.9,2.7,34.3,4.9,5.8,84.2,1.3,4.0,5.3,2.8,2.2,0.9,0.2,2.5,-5.7,Atlanta Dream,2004,1611661330
Asia (AD) Durr,13,14.8,6.9,2.5,7.2,35.5,0.7,2.6,26.5,1.2,1.5,78.9,0.2,1.1,1.3,1.2,0.8,0.3,0.2,1.1,-1.0,Atlanta Dream,2004,1611661330
Cheyenne Parker,13,27.2,16.1,6.2,12.5,50.0,0.5,1.5,30.0,3.2,3.5,89.1,2.9,4.4,7.3,1.5,3.0,1.6,1.3,2.5,-2.2,Atlanta Dream,2004,1611661330
Danielle Robinson,5,14.4,5.4,2.2,4.6,47.8,0.6,1.0,60.0,0.4,0.8,50.0,0.2,1.2,1.4,2.6,1.6,0.4,0.0,3.0,-7.2,Atlanta Dream,2004,1611661330
Haley Jones,13,21.9,5.0,1.9,5.7,33.8,0.3,1.0,30.8,0.8,1.2,73.3,0.2,3.1,3.3,3.5,2.5,0.7,0.5,2.5,-1.0,Atlanta Dream,2004,1611661330
Laeticia Amihere,7,7.8,3.7,1.0,2.1,46.7,0.0,0.1,0.0,1.7,3.1,54.5,0.3,1.0,1.3,0.4,0.9,0.3,1.0,0.9,-0.7,Atlanta Dream,2004,1611661330
Lorela Cubaj,3,6.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,0.0,0.3,0.0,0.3,1.3,4.0,Atlanta Dream,2004,1611661330
Monique Billings,12,14.7,4.4,1.4,3.6,39.5,0.0,0.1,0.0,1.6,1.8,90.5,1.4,3.0,4.4,0.6,1.0,0.3,0.4,2.0,-4.2,Atlanta Dream,2004,1611661330
Naz Hillmon,13,15.5,4.9,1.8,3.2,54.8,0.0,0.1,0.0,1.4,1.5,90.0,1.2,2.3,3.5,1.0,1.6,0.3,0.2,1.8,-6.0,Atlanta Dream,2004,1611661330
